strat,run0_M,reserve_mix,labor_total,worst_start_labor,n_fail,fails
sc2.6,10,bond,62,15,6,1987;1999;2010;2012;2013;2014
sc2.6,10,b70g20c10,72,15,7,1987;1989;1999;2010;2012;2013;2014
sc2.6,10,cash,83,15,8,1987;1989;1999;2010;2011;2012;2013;2014
sc2.6,12,bond,31,9,4,2010;2012;2013;2014
sc2.6,12,b70g20c10,32,9,4,2010;2012;2013;2014
sc2.6,12,cash,52,13,6,1989;2010;2011;2012;2013;2014
sc2.6,14,bond,24,9,3,2012;2013;2014
sc2.6,14,b70g20c10,27,9,4,2011;2012;2013;2014
sc2.6,14,cash,51,12,6,1989;2010;2011;2012;2013;2014
sc2.6,16,bond,25,9,3,2012;2013;2014
sc2.6,16,b70g20c10,29,9,4,2011;2012;2013;2014
sc2.6,16,cash,47,9,6,1988;2010;2011;2012;2013;2014
sc2.6,18,bond,44,10,5,1987;2010;2012;2013;2014
sc2.6,18,b70g20c10,60,11,7,1987;1988;2010;2011;2012;2013;2014
sc2.6,18,cash,74,12,9,1986;1987;1988;2009;2010;2011;2012;2013;2014
sc2.6,20,bond,46,8,8,1988;2008;2010;2011;2012;2013;2014;2015
sc2.6,20,b70g20c10,51,11,7,1988;2010;2011;2012;2013;2014;2015
sc2.6,20,cash,59,12,7,1988;2008;2010;2011;2012;2013;2014
sc2.4,10,bond,62,15,6,1987;1999;2010;2012;2013;2014
sc2.4,10,b70g20c10,71,15,7,1987;1989;1999;2010;2012;2013;2014
sc2.4,10,cash,83,15,8,1987;1989;1999;2010;2011;2012;2013;2014
sc2.4,12,bond,45,14,5,1987;2010;2012;2013;2014
sc2.4,12,b70g20c10,54,14,7,1987;1989;2010;2011;2012;2013;2014
sc2.4,12,cash,66,14,7,1987;1989;2010;2011;2012;2013;2014
sc2.4,14,bond,24,9,3,2012;2013;2014
sc2.4,14,b70g20c10,27,9,4,2011;2012;2013;2014
sc2.4,14,cash,60,12,7,1988;1989;2010;2011;2012;2013;2014
sc2.4,16,bond,30,9,4,2009;2012;2013;2014
sc2.4,16,b70g20c10,37,9,5,1988;2011;2012;2013;2014
sc2.4,16,cash,56,11,7,1988;2009;2010;2011;2012;2013;2014
sc2.4,18,bond,42,9,6,2009;2010;2011;2012;2013;2014
sc2.4,18,b70g20c10,57,11,7,1988;2009;2010;2011;2012;2013;2014
sc2.4,18,cash,71,11,8,1986;1988;2009;2010;2011;2012;2013;2014
sc2.4,20,bond,57,10,9,1988;2006;2008;2010;2011;2012;2013;2014;2015
sc2.4,20,b70g20c10,61,12,9,1988;2006;2008;2010;2011;2012;2013;2014;2015
sc2.4,20,cash,68,12,8,1988;2006;2008;2010;2011;2012;2013;2014
sc2.2,10,bond,74,15,8,1987;1989;1999;2003;2010;2012;2013;2014
sc2.2,10,b70g20c10,77,15,9,1987;1989;1999;2003;2010;2011;2012;2013;2014
sc2.2,10,cash,95,15,10,1987;1988;1989;1999;2003;2010;2011;2012;2013;2014
sc2.2,12,bond,45,14,5,1987;2010;2012;2013;2014
sc2.2,12,b70g20c10,60,14,8,1987;1988;1989;2010;2011;2012;2013;2014
sc2.2,12,cash,75,14,8,1987;1988;1989;2010;2011;2012;2013;2014
sc2.2,14,bond,31,9,5,1987;2010;2012;2013;2014
sc2.2,14,b70g20c10,43,9,6,1988;2010;2011;2012;2013;2014
sc2.2,14,cash,68,12,8,1987;1988;1989;2010;2011;2012;2013;2014
sc2.2,16,bond,34,9,5,2009;2011;2012;2013;2014
sc2.2,16,b70g20c10,43,10,6,1988;2009;2011;2012;2013;2014
sc2.2,16,cash,67,11,8,1988;1989;2009;2010;2011;2012;2013;2014
sc2.2,18,bond,53,9,7,1988;2009;2010;2011;2012;2013;2014
sc2.2,18,b70g20c10,57,11,7,1988;2009;2010;2011;2012;2013;2014
sc2.2,18,cash,71,12,8,1986;1988;2009;2010;2011;2012;2013;2014
sc2.2,20,bond,63,11,9,1987;1988;2008;2010;2011;2012;2013;2014;2015
sc2.2,20,b70g20c10,65,12,9,1987;1988;2008;2010;2011;2012;2013;2014;2015
sc2.2,20,cash,88,12,11,1986;1987;1988;2006;2008;2009;2010;2011;2012;2013;2014
sc2.0,10,bond,85,15,10,1987;1989;1999;2003;2009;2010;2011;2012;2013;2014
sc2.0,10,b70g20c10,89,15,10,1987;1988;1989;1999;2003;2010;2011;2012;2013;2014
sc2.0,10,cash,101,15,10,1987;1988;1989;1999;2003;2010;2011;2012;2013;2014
sc2.0,12,bond,51,14,7,1987;1989;2010;2011;2012;2013;2014
sc2.0,12,b70g20c10,71,14,8,1987;1988;1989;2010;2011;2012;2013;2014
sc2.0,12,cash,77,14,8,1987;1988;1989;2010;2011;2012;2013;2014
sc2.0,14,bond,49,10,7,1987;1988;2010;2011;2012;2013;2014
sc2.0,14,b70g20c10,63,11,8,1987;1988;1989;2010;2011;2012;2013;2014
sc2.0,14,cash,72,13,8,1987;1988;1989;2010;2011;2012;2013;2014
sc2.0,16,bond,52,10,7,1987;1988;2009;2011;2012;2013;2014
sc2.0,16,b70g20c10,50,11,7,1987;1988;2009;2011;2012;2013;2014
sc2.0,16,cash,87,12,10,1985;1987;1988;1989;2009;2010;2011;2012;2013;2014
sc2.0,18,bond,62,11,8,1986;1988;2009;2010;2011;2012;2013;2014
sc2.0,18,b70g20c10,66,12,8,1986;1988;2009;2010;2011;2012;2013;2014
sc2.0,18,cash,85,12,10,1985;1986;1988;2000;2009;2010;2011;2012;2013;2014
sc2.0,20,bond,66,11,9,1987;1988;2009;2010;2011;2012;2013;2014;2015
sc2.0,20,b70g20c10,70,12,9,1987;1988;2009;2010;2011;2012;2013;2014;2015
sc2.0,20,cash,91,13,11,1983;1986;1987;1988;2000;2009;2010;2011;2012;2013;2014
X4eq_sc2.2,10,bond,116,15,12,1983;1987;1988;1989;1999;2003;2009;2010;2011;2012;2013;2014
X4eq_sc2.2,10,b70g20c10,118,15,13,1983;1987;1988;1989;1992;1999;2003;2009;2010;2011;2012;2013;2014
X4eq_sc2.2,10,cash,151,15,16,1983;1985;1986;1987;1988;1989;1992;1999;2000;2003;2004;2010;2011;2012;2013;2014
X4eq_sc2.2,12,bond,101,15,11,1983;1987;1988;1989;1999;2009;2010;2011;2012;2013;2014
X4eq_sc2.2,12,b70g20c10,103,14,11,1983;1987;1988;1989;1999;2009;2010;2011;2012;2013;2014
X4eq_sc2.2,12,cash,128,14,16,1983;1985;1986;1987;1988;1989;1992;1999;2000;2003;2004;2010;2011;2012;2013;2014
X4eq_sc2.2,14,bond,81,14,9,1987;1988;1989;2009;2010;2011;2012;2013;2014
X4eq_sc2.2,14,b70g20c10,78,14,8,1987;1988;1989;2010;2011;2012;2013;2014
X4eq_sc2.2,14,cash,109,14,12,1986;1987;1988;1989;1999;2000;2004;2010;2011;2012;2013;2014
X4eq_sc2.2,16,bond,77,13,10,1987;1988;1989;2009;2010;2011;2012;2013;2014;2015
X4eq_sc2.2,16,b70g20c10,75,13,9,1987;1988;1989;2010;2011;2012;2013;2014;2015
X4eq_sc2.2,16,cash,109,13,12,1985;1986;1987;1988;1989;2000;2004;2010;2011;2012;2013;2014
X4eq_sc2.2,18,bond,71,13,9,1987;1988;2009;2010;2011;2012;2013;2014;2015
X4eq_sc2.2,18,b70g20c10,79,13,11,1985;1987;1988;2000;2009;2010;2011;2012;2013;2014;2015
X4eq_sc2.2,18,cash,126,13,16,1982;1985;1986;1987;1988;1989;1991;2000;2004;2009;2010;2011;2012;2013;2014;2015
X4eq_sc2.2,20,bond,92,13,11,1986;1987;1988;2008;2009;2010;2011;2012;2013;2014;2015
X4eq_sc2.2,20,b70g20c10,94,13,11,1986;1987;1988;2000;2009;2010;2011;2012;2013;2014;2015
X4eq_sc2.2,20,cash,147,13,19,1982;1985;1986;1987;1988;1989;1997;2000;2002;2004;2007;2008;2009;2010;2011;2012;2013;2014;2015
N4,10,bond,101,15,11,1987;1988;1989;1999;2003;2009;2010;2011;2012;2013;2014
N4,10,b70g20c10,97,15,10,1987;1988;1989;1999;2003;2010;2011;2012;2013;2014
N4,10,cash,102,15,10,1987;1988;1989;1999;2003;2010;2011;2012;2013;2014
N4,12,bond,77,15,9,1987;1988;1989;2009;2010;2011;2012;2013;2014
N4,12,b70g20c10,75,14,8,1987;1988;1989;2010;2011;2012;2013;2014
N4,12,cash,80,14,8,1987;1988;1989;2010;2011;2012;2013;2014
N4,14,bond,71,14,8,1987;1988;1989;2010;2011;2012;2013;2014
N4,14,b70g20c10,74,14,8,1987;1988;1989;2010;2011;2012;2013;2014
N4,14,cash,77,14,8,1987;1988;1989;2010;2011;2012;2013;2014
N4,16,bond,70,12,8,1987;1988;1989;2009;2011;2012;2013;2014
N4,16,b70g20c10,74,13,9,1987;1988;1989;2009;2010;2011;2012;2013;2014
N4,16,cash,83,13,10,1987;1988;1989;2000;2009;2010;2011;2012;2013;2014
N4,18,bond,77,12,9,1986;1987;1988;2009;2010;2011;2012;2013;2014
N4,18,b70g20c10,76,13,9,1986;1987;1988;2009;2010;2011;2012;2013;2014
N4,18,cash,90,13,11,1985;1986;1987;1988;2000;2009;2010;2011;2012;2013;2014
N4,20,bond,78,13,9,1986;1987;1988;2009;2010;2011;2012;2013;2014
N4,20,b70g20c10,79,13,10,1986;1987;1988;2009;2010;2011;2012;2013;2014;2015
N4,20,cash,94,13,11,1983;1986;1987;1988;2000;2009;2010;2011;2012;2013;2014
