CAGR,MaxDD,Sharpe,Sortino,Calmar,Trades,Worst5Y,WinRate,Strategy,Category,Rebalances,Rebal/Year,Delay,Cost
0.19939565566755113,-0.998899632841758,0.6067610557289467,0.7500985561122043,0.19961530579432965,0,-0.6007177185432522,0.7446808510638298,Buy&Hold 3x (OLD: 1d/0.9%),Old,0,0.0,1,0.009
0.19104783000036774,-0.998957545617639,0.5952940889363402,0.7358418437194507,0.19124719647845095,0,-0.6031200695405561,0.7446808510638298,Buy&Hold 3x (NEW: 5d/1.5%),New,0,0.0,5,0.015
0.2948756441583493,-0.6301816726528569,0.8287968219642791,0.91031125071904,0.4679216437968121,30,-0.08344204414198653,0.7021276595744681,DD-Only (OLD: 1d/0.9%),Old,30,0.6330067822155236,1,0.009
0.2630333779749696,-0.7604727394106182,0.7562407257747636,0.8074497150300549,0.3458814029005508,30,-0.15468163678642655,0.6808510638297872,DD-Only (NEW: 5d/1.5%),New,30,0.6330067822155236,5,0.015
0.3001488127623655,-0.618992592091993,0.8608582875623346,0.9619395216548418,0.4848988769767994,30,-0.07968994945682062,0.7021276595744681,DD+VT(25%) (OLD: 1d/0.9%),Old,778,16.415975885455914,1,0.009
0.28094595495113195,-0.7567571968897037,0.8079472961149917,0.8849261378531411,0.37124979597925045,30,-0.15207524648810777,0.6808510638297872,DD+VT(25%) (NEW: 5d/1.5%),New,778,16.415975885455914,5,0.015
0.31722539927400395,-0.5843518931760764,0.901513056806255,1.0208481068239732,0.5428670685908394,30,-0.0781026292340048,0.723404255319149,DD+VT+VolSpike (OLD: 1d/0.9%),Old,1112,23.463451394122078,1,0.009
0.2744813805158999,-0.7351452730227027,0.7996363633098181,0.8705963907848102,0.37337025835358034,30,-0.13439648743508137,0.6595744680851063,DD+VT+VolSpike (NEW: 5d/1.5%),New,1112,23.463451394122078,5,0.015
0.28579109489517807,-0.481748152488071,1.0313501394979727,1.1351556283406494,0.5932375524828916,30,0.014116569198921125,0.7872340425531915,Ens2(Asym+Slope) (OLD: 1d/0.9%),Old,4892,103.22230595327807,1,0.009
0.2373936218107615,-0.5339480130591221,0.8603842965877991,0.9087349411068943,0.44460062778522935,30,-0.056280275596476415,0.6808510638297872,Ens2(Asym+Slope) (NEW: 5d/1.5%),New,4892,103.22230595327807,5,0.015
0.28463035133354286,-0.481748152488071,1.0136781682374634,1.1046442937024306,0.5908281118744734,30,0.01355587188559837,0.7659574468085106,Ens2(Slope+TrendTV) (OLD: 1d/0.9%),Old,4907,103.53880934438583,1,0.009
0.2405041334137834,-0.5329745282438979,0.8593092444254797,0.902489771610433,0.4512488321087734,30,-0.05660880786822986,0.6808510638297872,Ens2(Slope+TrendTV) (NEW: 5d/1.5%),New,4907,103.53880934438583,5,0.015
0.2373936218107615,-0.5339480130591221,0.8603842965877991,0.9087349411068943,0.44460062778522935,30,-0.056280275596476415,0.6808510638297872,Ens2(A+S) Daily,S1-Daily,4892,103.22230595327807,5,0.015
0.23500916220298884,-0.5365476316066272,0.8551183160785372,0.9028751096227243,0.43800242207626977,30,-0.056514299953748126,0.6808510638297872,Ens2(A+S) Th=5%,S1-Thresh,2994,63.174076865109264,5,0.015
0.23041594073703187,-0.5369443321802578,0.8449241941935278,0.8912446190509181,0.42912444908661185,30,-0.05845994209981431,0.7021276595744681,Ens2(A+S) Th=10%,S1-Thresh,1716,36.207987942727954,5,0.015
0.23361897814428034,-0.5103961074713346,0.8589470150547996,0.9133117313145225,0.4577209244437686,30,-0.04552287508729935,0.7021276595744681,Ens2(A+S) Th=15%,S1-Thresh,1096,23.125847776940464,5,0.015
0.22911442217433997,-0.5254480654898891,0.8505409673458628,0.9036346172810212,0.4360362845007918,30,-0.04901474567579234,0.723404255319149,Ens2(A+S) Th=20%,S1-Thresh,760,16.0361718161266,5,0.015
0.225531333810699,-0.5200497649967909,0.8442059078511293,0.90445114433289,0.43367260018296655,30,-0.043114312714980896,0.7021276595744681,Ens2(A+S) Th=25%,S1-Thresh,523,11.035418236623963,5,0.015
0.250605366390253,-0.5828231496788525,0.8788862388722744,0.9177664155954421,0.42998526487553157,30,-0.08270478345176635,0.6808510638297872,Ens2(A+S) Per=1wk,S1-Period,1225,25.847776940467217,5,0.015
0.24877331178594764,-0.6865758900117231,0.861803738955038,0.8805928232968981,0.3623391316314645,30,-0.14168358461142905,0.723404255319149,Ens2(A+S) Per=2wk,S1-Period,684,14.43255463451394,5,0.015
0.22224942064568753,-0.6441832832658123,0.7803611497954078,0.7943365302102878,0.3450096058360144,30,-0.11153172225942798,0.723404255319149,Ens2(A+S) Per=1mo,S1-Period,389,8.207987942727957,5,0.015
0.2405041334137834,-0.5329745282438979,0.8593092444254797,0.902489771610433,0.4512488321087734,30,-0.05660880786822986,0.6808510638297872,Ens2(S+T) Daily,S2-Daily,4907,103.53880934438583,5,0.015
0.23910310330805196,-0.5355795768491052,0.8570954580564268,0.9009168931984824,0.4464380526134535,30,-0.055858719865852,0.7021276595744681,Ens2(S+T) Th=5%,S2-Thresh,2986,63.00527505651846,5,0.015
0.23238609513562403,-0.5359771060469999,0.84080647273926,0.8819372097381201,0.433574666741915,30,-0.05682442110721875,0.7021276595744681,Ens2(S+T) Th=10%,S2-Thresh,1743,36.777694046721926,5,0.015
0.2367760098662235,-0.5093734276669206,0.858330800282479,0.9064551778436458,0.46483777324374165,30,-0.0427622427098282,0.6808510638297872,Ens2(S+T) Th=15%,S2-Thresh,1093,23.062547098718913,5,0.015
0.23513708557501523,-0.5244568260676239,0.8630376241651522,0.9160005042740409,0.44834402735888207,30,-0.04673446796584402,0.7021276595744681,Ens2(S+T) Th=20%,S2-Thresh,744,15.698568198944988,5,0.015
0.23017044561006061,-0.5685569391612458,0.8387746775432985,0.8850327197079639,0.4048327084875892,30,-0.041454338297469806,0.7021276595744681,Ens2(S+T) Th=25%,S2-Thresh,538,11.351921627731725,5,0.015
0.25343219424146235,-0.5819517547692061,0.8774158924116796,0.9128492518692302,0.4354866054866868,30,-0.08141843046204256,0.6808510638297872,Ens2(S+T) Per=1wk,S2-Period,1214,25.615674453654858,5,0.015
0.25074243484290504,-0.6859212128075737,0.857215665924589,0.8706709356911262,0.3655557375410222,30,-0.13985199834711726,0.723404255319149,Ens2(S+T) Per=2wk,S2-Period,672,14.179351921627731,5,0.015
0.22717810941909966,-0.6714069969436184,0.7883109493680802,0.8030031242587121,0.33836124802580364,30,-0.11208172327022758,0.723404255319149,Ens2(S+T) Per=1mo,S2-Period,389,8.207987942727957,5,0.015
0.2744813805158999,-0.7351452730227027,0.7996363633098181,0.8705963907848102,0.37337025835358034,30,-0.13439648743508137,0.6595744680851063,VolSpike Daily,S3-Daily,1112,23.463451394122078,5,0.015
0.2717092553035161,-0.7350120947240226,0.795505435174444,0.8654336871329317,0.3696663731846966,30,-0.1344198742607413,0.6595744680851063,VolSpike Th=5%,S3-Thresh,845,17.829691032403918,5,0.015
0.27030240341827505,-0.7320598536488171,0.797237794605528,0.867170804015528,0.36923538706705833,30,-0.1342323645472261,0.6595744680851063,VolSpike Th=10%,S3-Thresh,597,12.596834966088922,5,0.015
0.26985467129532537,-0.7320598536488165,0.7952682730818142,0.8650862680435287,0.3686237811707401,30,-0.13423236454722587,0.6595744680851063,VolSpike Th=15%,S3-Thresh,533,11.246420497362472,5,0.015
0.26264668188730944,-0.7320598536488171,0.7827262355732058,0.8475101770223932,0.35877760620008814,30,-0.13423236454722598,0.6595744680851063,VolSpike Th=20%,S3-Thresh,489,10.318010550113037,5,0.015
0.27403862789561617,-0.7476303314068868,0.7958571850654548,0.8642867892632236,0.3665429509526877,30,-0.14448560737969618,0.7021276595744681,VolSpike Per=1wk,S3-Period,292,6.161266013564431,5,0.015
0.2723184601043609,-0.7589114751505864,0.7923174199287133,0.8613820780239372,0.3588277012813995,30,-0.1531310833161943,0.6808510638297872,VolSpike Per=2wk,S3-Period,166,3.502637528259231,5,0.015
0.2514731367234533,-0.7604727394106193,0.7456026579097551,0.7975062111919066,0.33068001480020137,30,-0.16120090082150484,0.6808510638297872,VolSpike Per=1mo,S3-Period,93,1.9623210248681235,5,0.015
0.2630333779749696,-0.7604727394106182,0.7562407257747636,0.8074497150300549,0.3458814029005508,30,-0.15468163678642655,0.6808510638297872,DD-Only (3x or Cash),Base,30,0.6330067822155236,5,0.015
0.28094595495113195,-0.7567571968897037,0.8079472961149917,0.8849261378531411,0.37124979597925045,30,-0.15207524648810777,0.6808510638297872,DD+VT(25%) Daily,Base,778,16.415975885455914,5,0.015
0.27712675562424294,-0.7408738140346575,0.8105175481180277,0.8900456390616475,0.37405392169965285,30,-0.14287772412023958,0.6808510638297872,DD+VT(25%) Th=10%,Base-Thresh,208,4.388847023360964,5,0.015
0.2808375640727445,-0.7396445648071273,0.814433934733129,0.8957281734799748,0.3796925948424658,30,-0.1419566101386781,0.6808510638297872,DD+VT(25%) Th=15%,Base-Thresh,153,3.228334589299171,5,0.015
0.2750443090184074,-0.7463379502963708,0.8094658793381613,0.8870127557778354,0.36852515527206847,30,-0.14641451824252938,0.6808510638297872,DD+VT(25%) Th=20%,Base-Thresh,96,2.025621703089676,5,0.015
0.19104783000036774,-0.998957545617639,0.5952940889363402,0.7358418437194507,0.19124719647845095,0,-0.6031200695405561,0.7446808510638298,Buy&Hold 3x,Ref,0,0.0,5,0.015
